Day,Total_consumption
2024-07-01,300.7035000000001
2024-07-02,331.1071000000001
2024-07-03,247.19629999999998
2024-07-04,318.9897
2024-07-05,221.38439999999997
2024-07-06,89.94749999999999
2024-07-07,95.08259999999999
2024-07-08,273.45450000000005
2024-07-09,283.4022
2024-07-10,236.79680000000002
2024-07-11,293.99569999999994
2024-07-12,220.05980000000002
2024-07-13,90.8125
2024-07-14,76.24300000000002
2024-07-15,337.5873
2024-07-16,311.08290000000005
2024-07-17,259.24899999999997
2024-07-18,362.03700000000003
2024-07-19,229.00320000000005
2024-07-20,78.8409
2024-07-21,106.76750000000001
2024-07-22,336.3364
2024-07-23,341.90459999999996
2024-07-24,253.0156
2024-07-25,443.48879999999986
2024-07-26,234.83190000000002
2024-07-27,94.8052
2024-07-28,79.20990000000002
2024-07-29,328.0052
2024-07-30,333.8283
2024-07-31,292.9972000000001
2024-08-01,393.60529999999994
2024-08-02,246.76849999999996
2024-08-03,143.48309999999998
2024-08-04,100.923
2024-08-05,312.6914
2024-08-06,419.2115999999999
2024-08-07,247.08379999999997
2024-08-08,327.73429999999996
2024-08-09,242.7196
2024-08-10,74.99519999999998
2024-08-11,71.5138
2024-08-12,323.0593
2024-08-13,355.8452
2024-08-14,279.61429999999996
2024-08-15,109.26650000000001
2024-08-16,254.1442
2024-08-17,91.21279999999999
2024-08-18,91.38779999999998
2024-08-19,305.5826
2024-08-20,375.52320000000003
2024-08-21,303.20339999999993
2024-08-22,320.5111
2024-08-23,226.3695
2024-08-24,117.5085
2024-08-25,103.3949
2024-08-26,311.0221
2024-08-27,422.3505
2024-08-28,370.54060000000004
2024-08-29,355.0154
2024-08-30,324.9421
2024-08-31,89.54580000000001
2024-09-01,97.8961
2024-09-02,275.12840000000006
2024-09-03,415.9352
2024-09-04,333.0704
2024-09-05,357.0169
2024-09-06,299.05260000000004
2024-09-07,96.5038
2024-09-08,121.12449999999998
2024-09-09,389.2472
2024-09-10,295.77990000000005
2024-09-11,351.2768
2024-09-12,377.53799999999995
2024-09-13,238.13020000000003
2024-09-14,121.47910000000002
2024-09-15,113.661
2024-09-16,527.4167000000001
2024-09-17,318.6121999999999
2024-09-18,319.0496000000001
2024-09-19,307.9126
2024-09-20,242.84820000000002
2024-09-21,111.8652
2024-09-22,135.04149999999998
2024-09-23,383.25059999999996
2024-09-24,418.26009999999997
2024-09-25,392.5503000000001
2024-09-26,316.95259999999996
2024-09-27,352.4935
2024-09-28,214.30530000000002
2024-09-29,149.257
2024-09-30,449.1384000000001
2024-10-01,423.12330000000003
2024-10-02,396.03940000000006
2024-10-03,446.7305999999999
2024-10-04,225.51940000000008
2024-10-05,151.1685
2024-10-06,136.5335
2024-10-07,307.9604999999999
2024-10-08,325.35910000000007
2024-10-09,307.08990000000006
2024-10-10,304.3908
2024-10-11,281.9218
2024-10-12,200.35249999999996
2024-10-13,177.87170000000003
2024-10-14,354.5906000000001
2024-10-15,313.4617999999999
2024-10-16,269.61070000000007
2024-10-17,300.8823
2024-10-18,226.73719999999997
2024-10-19,133.6143
2024-10-20,130.808
2024-10-21,302.814
2024-10-22,354.1293000000001
2024-10-23,300.9942
2024-10-24,316.2525
2024-10-25,332.77959999999996
2024-10-26,142.25629999999998
2024-10-27,149.4247
2024-10-28,351.24109999999985
2024-10-29,328.2295
2024-10-30,346.2872
2024-10-31,291.4921
2024-11-01,203.67040000000003
2024-11-02,180.60710000000003
2024-11-03,185.9484
2024-11-04,396.00309999999996
2024-11-05,401.0969999999998
2024-11-06,332.45889999999997
2024-11-07,363.567
2024-11-08,339.3864
2024-11-09,196.33160000000004
2024-11-10,178.7239
2024-11-11,185.6749
2024-11-12,393.7129
2024-11-13,294.58329999999995
2024-11-14,372.68930000000006
2024-11-15,310.70660000000004
2024-11-16,180.4326
2024-11-17,180.23949999999996
2024-11-18,385.72519999999986
2024-11-19,333.58989999999994
2024-11-20,411.55879999999996
2024-11-21,460.62149999999986
2024-11-22,370.865
2024-11-23,228.87519999999995
2024-11-24,174.96400000000003
2024-11-25,350.3837
2024-11-26,354.4495
2024-11-27,375.8053
2024-11-28,485.7741999999999
2024-11-29,352.1584999999999
2024-11-30,265.9988
2024-12-01,222.4646
2024-12-02,380.3150000000001
2024-12-03,414.9973
2024-12-04,371.8526
2024-12-05,379.1763000000001
2024-12-06,318.89620000000014
2024-12-07,184.1121
2024-12-08,193.84800000000004
2024-12-09,383.47429999999986
2024-12-10,391.9917999999999
2024-12-11,372.19380000000007
2024-12-12,447.3735999999999
2024-12-13,367.6338
2024-12-14,234.98929999999996
2024-12-15,222.56019999999995
2024-12-16,369.2081999999999
2024-12-17,376.1455000000001
2024-12-18,388.1032000000001
2024-12-19,372.49950000000007
2024-12-20,332.70579999999995
2024-12-21,201.3334
2024-12-22,211.96580000000003
2024-12-23,377.75479999999993
2024-12-24,312.7795
2024-12-25,217.34739999999996
2024-12-26,313.03559999999993
2024-12-27,312.7451
2024-12-28,239.70239999999995
2024-12-29,243.63970000000003
2024-12-30,396.35319999999996
2024-12-31,306.2056
2025-01-01,232.64860000000002
2025-01-02,420.11069999999995
2025-01-03,382.11740000000003
2025-01-04,247.60009999999997
2025-01-05,223.88010000000003
2025-01-06,377.70300000000003
2025-01-07,403.05230000000006
2025-01-08,404.97719999999987
2025-01-09,511.06629999999996
2025-01-10,591.3063000000001
2025-01-11,284.6174
2025-01-12,283.18210000000005
2025-01-13,464.70899999999995
2025-01-14,507.33630000000005
2025-01-15,453.9778
2025-01-16,467.7415999999999
2025-01-17,470.5317999999998
2025-01-18,292.9552
2025-01-19,278.4963
2025-01-20,493.19079999999997
2025-01-21,502.99070000000006
2025-01-22,441.83500000000015
2025-01-23,487.2011
2025-01-24,401.2706999999999
2025-01-25,254.27980000000002
2025-01-26,273.3697
2025-01-27,419.9616
2025-01-28,437.63349999999997
2025-01-29,420.5182000000001
2025-01-30,428.9423000000001
2025-01-31,416.55120000000005
2025-02-01,262.1271
2025-02-02,262.7291000000001
2025-02-03,442.2303
2025-02-04,480.81989999999985
2025-02-05,420.3728000000001
2025-02-06,456.8498999999999
2025-02-07,419.8483
2025-02-08,243.9502
2025-02-09,244.86530000000002
2025-02-10,467.6733
2025-02-11,471.13269999999983
2025-02-12,401.4137
2025-02-13,560.9027000000001
2025-02-14,420.8568999999999
2025-02-15,265.337
2025-02-16,268.2997
2025-02-17,459.1988999999998
2025-02-18,458.21890000000013
2025-02-19,227.15250000000003
